id,claim_id,storage_provider,storage_key,sha256,file_name,content_type,size_bytes,created_at
00f032bc-6aca-4116-b9d8-f8d442484a75,1ee3daac-0680-49ba-a27c-4fdf418bf334,supabase,361/ins-fraud-3.pdf,c66fe100b78ca0c9e892bf340f58f856b162e077d31b66556787f1b394eea069,ins-fraud-3.pdf,application/pdf,136192,2026-02-22 16:28:02.169301+00
2a2831de-c905-40c0-9c04-4aa36e601025,2d40ed8b-b505-4fdf-91e5-1dd8b2dacef9,supabase,356/claim4_personal_accident.pdf,79435d74415ef3964c70fabd0ff7d8a886c1204c91b263a5210ed847fa3a9b1c,claim4_personal_accident.pdf,application/pdf,70758,2026-02-21 11:43:12.878281+00
33686ccf-dd4c-4bde-9fd1-937811638dfa,dd9701c6-620a-4956-a0e5-e88a845ae924,supabase,357/xray 5.jpg,7d2d2f6222ab71848c9073fd89cce2c339da8d8c05f229cf4df27d45f5974b53,xray 5.jpg,image/jpeg,23040,2026-02-21 11:44:05.08661+00
37263d95-9aad-4e82-a35c-49f4c0a89468,35813bda-fa76-4709-b19d-490d5ed972cc,supabase,360/ins-fraud-2.pdf,84518aa21a5ef378edaba03895d088e15d6920781308d841a5e8ff0f0cd937c9,ins-fraud-2.pdf,application/pdf,149504,2026-02-22 16:27:34.033434+00
4374e7a8-c015-4301-88d0-78d5e0682201,dd9701c6-620a-4956-a0e5-e88a845ae924,supabase,357/claim5_health_suspicious.pdf,6df55ce9b18ac59b3ab67cba6a6e42825ba670a9141e3ee00995976cdd2175dd,claim5_health_suspicious.pdf,application/pdf,74342,2026-02-21 11:44:05.08661+00
7979c8ca-c19d-4ab6-9997-213552a8c983,507923d5-c5fb-47db-abe9-48d58d828ab7,supabase,353/claim1_health_clean.pdf,fd028d3b353b4ff39a60901633cbf5f639bb9196dfc58ff1bbb6944affdae5de,claim1_health_clean.pdf,application/pdf,77414,2026-02-21 11:41:56.098569+00
8557e683-899e-4064-8e18-445159cbc44e,e1c5f277-a48d-49fb-bca7-0ed8d38cfc5f,supabase,362/ins-fraud-4.pdf,c4533e9c90a6973fdec97caef82cfe34bcb510018eb305545afb5b2a1d748aa2,ins-fraud-4.pdf,application/pdf,136192,2026-02-22 16:28:58.413793+00
8fe41c20-5dda-4589-8c72-c611227372b9,b6e94023-2764-4638-9a92-eca1515079d2,supabase,355/claim3_motor_velocity.pdf,aa0954579ec325ed395936c6694f24ebcf12dc669ce4d57421761925040bc5cd,claim3_motor_velocity.pdf,application/pdf,73933,2026-02-21 11:42:44.851858+00
a214f0f9-3846-4699-bb87-739531445c02,ad27d7a4-c232-4ec4-83e5-e280b10d1140,supabase,358/health-ins-fraud.pdf,75e42faa7a9f35b85159561f84b540f1344ce83878db706654244aa5f2a3c7c5,health-ins-fraud.pdf,application/pdf,57446,2026-02-22 15:46:23.43952+00
a5bde31e-ade2-4f7c-816e-38ded76c8060,0c64728e-5183-4e82-9a7d-904159739ca8,supabase,363/ins-fraud-5.pdf,7be38c27745ff065adc57147c254ee218a1c8629288295992fb9f0e0629c9599,ins-fraud-5.pdf,application/pdf,149504,2026-02-22 16:29:30.249839+00
bc4a9ab6-c915-4dec-93cb-9a9faa1059d1,840df2d4-a6e5-4451-aa8b-aed072f1d9d3,supabase,359/ins-fraud-1.pdf,c4993a55f8366b7c4c6004f7b8efa9ec25a4713bd7ea6574347326d302df7ba4,ins-fraud-1.pdf,application/pdf,152576,2026-02-22 16:26:57.478651+00
cc82fb74-3ebd-4a01-8b52-78a7627397c1,34492399-dfe0-4851-9573-0df8e8c5cde8,supabase,365/ins-fraud-8.pdf,eb6e55310e31356a1b1d5001e63ef4f3fcf38e9cad0736502f00543be2015ed8,ins-fraud-8.pdf,application/pdf,136192,2026-02-22 16:30:30.957341+00
e1bcad82-936c-4685-b3d7-17cbf9a9fadf,14fedf75-eb8f-4f4a-aa28-de3dbbe1dff8,supabase,364/ins-fraud-7.pdf,12d3dabebe4e780532bce8f648c4537a74d41a94bcf0ca19a1bd6efde911439e,ins-fraud-7.pdf,application/pdf,136192,2026-02-22 16:29:50.141314+00
e6d96bac-c3d4-4dde-9c8c-28bf34872410,d3f3ad89-04d7-4b86-b5e4-394bfe42aa57,supabase,354/claim2_health_duplicate.pdf,c20e5f5743402c8431fe0b309311049d675a189735e7977523534554e57ea1d5,claim2_health_duplicate.pdf,application/pdf,72294,2026-02-21 11:42:24.694929+00
ffac1379-742d-4750-892e-ee9386d99ef8,2d40ed8b-b505-4fdf-91e5-1dd8b2dacef9,supabase,356/xray 4.jpg,7d2d2f6222ab71848c9073fd89cce2c339da8d8c05f229cf4df27d45f5974b53,xray 4.jpg,image/jpeg,23040,2026-02-21 11:43:12.878281+00
